YEAR,[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE,Tot Res Exp,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,St-Ups w Equ,Lic FTEs,Oth FTEs,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
2015,71137,Albert Einstein College of Medicine,Yes,New York,NY,5U,180261448,20,176947893,3313555, , ,,2,1,13,5,2,,16,18,2,,0,1,66,26,3988741,96115,4159494,170753,65,18,0,18,0,66,7,1,,,0,1,1,3,3,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
2014,71137,Albert Einstein College of Medicine,Yes,New York,NY,5U,148384135,27,144884321,3499814, ,217599,99,5,1,11,12,4,40,21,26,1,,0,0,81,31,3053212,122276,3265897,212685,65,37,0,37,0,85,19,1,,,1,4,1,4,3,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
2013,71137,Albert Einstein College of Medicine,Yes,New York,NY,5U,180685671,19,177178886,3506785, , ,,6,2,,,4,35,12,18,1,0,1885,1,34,23,3210035, ,3442097,230177,57,46,0,46,0,97,20,,,,2,4,2,4,4,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
2012,71137,Albert Einstein College of Medicine,Yes,New York,NY,5U,195244076,15,192736489,2507587, , ,,4,0,4,7,4,45,10,14,1,,0,1,59,27,4434730, ,4746014,311284,69,34,0,34,0,80,15,,,,0,,, , ,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
2011,71137,Albert Einstein College of Medicine,Yes,New York,NY,5U,183514082,13,181124222,2389860, , ,,2,1,8,4,1,25,6,8,5,0,0,1,47,22,4176397, ,4356987,180590,48,34,0,33,1,68,14,4,12,0,0,1,1,4,3,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
2010,71137,Albert Einstein College of Medicine,Yes,New York,NY,5U,152161016,13,150343210,1817805, , ,,3,2,5,6,2,57,8,11,2,0,2843256,2,31,25,3508266,88575,6496431,144909,54,20,0,20,0,40,19,,13,,0,2,2,4,3,89,69,45,3,28.29,36,4081698,4468707,8550405,156961,3212500
2015,71180,Arizona State University,No,Tempe,AZ,5U,458412000,81,196528000,14312000,3317116,1133341,212,22,12,27,42,12,196,33,55,26,0,1273,0,40,9,1392041,28088,1436333,43019,270,175,0,175,0,267,62,2,49,8,10,12,12,9.5,5,45,75,55,1,44.71,28.8,91350,84476,175826,7058,26620
2014,71180,Arizona State University,No,Tempe,AZ,5U,426651000,90,196270000,15518000,2925996,941229,202,25,10,22,56,12,202,30,55,35,,2843,1,33,7,3315426,38701,3376965,58696,261,165,,,,281,56,4,45,7,12,12,10,10, ,45,75,55,1,44.71,28.8,91350,84476,175826,7058,26620
2013,71180,Arizona State University,No,Tempe,AZ,5U,405154000,88,201363000,12242000,2766642,970482,178,25,9,36,41,11,150,19,44,44,,0,1,37,6,1989210,18067,2026689,37479,250,171,0,171,0,273,48,,40,0,10,11,9,9,4,45,75,55,1,44.71,28.8,91350,84476,175826,7058,26620
2012,71180,Arizona State University,No,Tempe,AZ,5U,385958626,80,194376070,13642705,2494907,1256926,125,22,9,35,36,9,151,7,29,51,44,0,0,34,7,1824639,14014,1900333,75694,239,106,0,104,2,211,26,,29,3,8,9,9,9,4,45,75,55,1,44.71,28.8,91350,84476,175826,7058,26620
2011,71180,Arizona State University,No,Tempe,AZ,5U,355214540,73,185765739,9891461,2435439,887437,140,19,9,41,21,10,74,10,29,44,52,0,0,30,5,997302,10658,1059372,62070,170,93,3,90,0,158,18,,31,1,8,10,9,9,4,45,75,55,1,44.71,28.8,91350,84476,175826,7058,26620
2015,71194,Auburn University,No,Auburn,NY,5U,135899000,24,48352000,6165000,478112,188044,90,11,3,12,8,4,31,8,19,5,8,0,0,46,24,905401,4380,1170753,265352,57,42,0,,,86,16,1,18,2,0,2,1,4,4,,38,35,1,24.77,,,,,,
2014,71194,Auburn University,No,Auburn,AL,5U,142487000,18,50088000,6381000,513842,218851,77,9,1,7,10,1,26,3,12,6,1,0,0,45,23,796829,1037,863334,66505,54,34,2,32,0,79,17,1,15,0,1,1,1,3.5,4.5,,38,35,1,24.77,,,,,,
2013,71194,Auburn University,No,Auburn,AL,5U,147229000,7,57253000,5824000,654299,174125,85,2,0,2,5,0,10,0,2,5,3,0,0,28,17,760182,1370,835897,75715,65,38,0,38,0,104,22,,16,1,0,0,0,3.5,4.5,,38,35,1,24.77,,,,,,
2012,71194,Auburn University,No,Auburn,AL,5U,133013000,17,55557000,5200000,658024,159329,83,9,3,2,10,5,28,2,11,6,,0,0,31,12,580964,475,646659,65695,87,107,0,82,25,107,14,2,17,0,1,1,1,3.5,4.5,,38,35,1,24.77,,,,,,
2011,71194,Auburn University,No,Auburn,AL,5U,163335000,20,59559000,4019000,623488,41779,67,12,1,1,16,3,23,6,18,2,0,0,0,30,11,598781,1425,630334,31553,64,75,0,63,12,79,17,2,17,0,2,3,1,3,4,,38,35,1,24.77,,,,,,
2010,71194,Auburn University,No,Auburn,AL,5U,145115000,25,53971000,4177000,608511,137819,63,6,1,2,22,1,27,5,11,14,0,0,0,33,8,730069,0,770134,40065,105,108,0,91,17,110,23,2,15,0,1,1,1,3.5,4,,38,35,1,24.77,,,,,,
2011,71212,Baylor University,No,Waco,TX,5U,12343000,1,3704000,918000, , ,3,1,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,8,,,,,,,1,1,0,0,0,,0.5,0,,39,44,1,51.62,29.3,63452,68890,132342,10716,14235
2015,71228,Beth Israel Deaconess Medical Center,No,Boston,MA,4HRI,213804000,25,147069000,17731000,1986359,1155379,193,8,0,13,11,1,0,13,21,4,0,114900,1,76,36,1164626,6602,3143191,1863665,91,31,0,30,1,115,20,1,20,5,1,1,0,4,4,72,69,35,3,42.39,31.8,322149,347320,669469,18350,190123
2014,71228,Beth Israel Deaconess Medical Center,No,Boston,MA,4HRI,217155000,32,153874000,17276000,2028495,1050681,192,6,2,16,10,6,5,12,18,14,0,3036559,1,70,36,370038,7294,5847365,2440768,74,46,0,45,1,87,18,,24,2,3,4,2,5,4,72,69,35,3,42.39,31.8,322149,347320,669469,18350,190123
2013,71228,Beth Israel Deaconess Medical Center,No,Boston,MA,4HRI,229212000,27,166460000,11937000,1685362,1418185,187,4,2,12,10,5,78,15,19,8,0,180000,0,69,36,863180,101640,2714569,1671389,99,46,0,45,1,111,15,3,22,3,4,5,1, , ,72,69,35,3,42.39,31.8,322149,347320,669469,18350,190123
2012,71228,Beth Israel Deaconess Medical Center,No,Boston,MA,4HRI,231312000,31,173868000,8335000,1621763,1008780,182,5,0,9,16,6,5,13,18,13,0,0,0,67,34,1019161, ,2463421,1444260,104,33,0,29,4,88,20,2,20,5,6,6,0,4.5,4.5,72,69,35,3,42.39,31.8,322149,347320,669469,18350,190123
