ID_renamed,Act Lic,AirQualityIndex,Airports,Bike Score,Crime Rate,Cum Op St-Ups,Excl Lic/Opt.,Female Population,For. Pat App Fld,Foreign-born,Inv Dis Rec,Iss US Pat,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Iss,Lic w Equ,Male Population,Median Age,NEWCOMPSUPP,New Pat App Fld,New Prod,Non-Excl Lic/Opt,Number of Veterans,Opt Iss,Pro Pat App Fld,St-Ups Cld,St-Ups Formed,St-Ups in Home St,St-Ups w Equ,Tot Discl Lic,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Lic/Opt Exe,Tot Pat App Fld,Total Population,Transit Score,Util Pat App Fld,[ID],City,Fed Res Exp,Gross Lic Inc,INSTITUTION,INSTTYPE,Ind Res Exp,Leg Fees,Lic FTEs,Lic Inc Equ,Lic Inc Other,Lic Inc Pd Oth,Lic Inc Run Roy,MEDSCHL,Oth FTEs,Reimb Leg Fee,STATE,Tot Res Exp
71137,99,45,3,69,28.290000000000003,12.5,3.6666666666666665,4468707,0,3212500,59.666666666666664,15.666666666666666,1,53,25.666666666666668,15.833333333333334,1.1666666666666667,4081698,36,0,31.5,2,12.166666666666666,156961,2,31.333333333333332,0,2.4,0.5,1.4,40.4,8.2,6.8,2.8333333333333335,17.833333333333332,72.66666666666667,8550405,89,0.16666666666666666,71137,New York,176947893,4159494,Albert Einstein College of Medicine,5U,3313555, ,3,0,3988741,96115,170753,Yes,3, ,NY,180261448
71180,171.4,55,1,75,44.71,38.8,22.6,84476,0.75,26620,238,42,0.4,34.8,6.8,42.4,9.8,91350,28.8,32,142,3,19.8,7058,40,135,3.8,10.8,9.6,9.8,154.6,32.2,39.2,10.8,82.4,238,175826,45,0.5,71180,Tempe,196528000,1436333,Arizona State University,5U,14312000,3317116,9.5,1273,1392041,28088,43019,No,5,1133341,AZ,458412000
71194,77.5,35,1,38,24.77,16.333333333333332,8.166666666666666,,0.3333333333333333,,72,18.166666666666668,0,35.5,15.833333333333334,12.166666666666666,1.5,,,2.4,67.33333333333333,1.6,4,,6.333333333333333,61.2,0.5,1.3333333333333333,0.8333333333333334,0.8333333333333334,24.166666666666668,4.333333333333333,11.833333333333334,2.3333333333333335,18.5,94.16666666666667,,,10.8,71194,Auburn,48352000,1170753,Auburn University,5U,6165000,478112,4,0,905401,4380,265352,No,4,188044,NY,135899000
71212,3,44,1,39,51.62,1,1,68890,,14235,8,,0,0,0,1,1,63452,29.3,1,,1,0,10716,0,,0,0,0,,2,0,0,1,1,,132342,,,71212,Waco,3704000,0,Baylor University,5U,918000, ,0.5,0,0,0,0,No,0, ,TX,12343000
71228,182.16666666666666,35,3,69,42.39,20.833333333333332,4.833333333333333,347320,0,190123,92.33333333333333,18.166666666666668,0.6666666666666666,63.333333333333336,32.833333333333336,16.333333333333332,0.6666666666666666,322149,31.8,0,38.666666666666664,2.2,11.5,18350,9.5,36.833333333333336,3.5,4,3.1666666666666665,0.5,20.666666666666668,11.5,10,4.333333333333333,25.833333333333332,90.33333333333333,669469,72,1.8333333333333333,71228,Boston,147069000,3143191,Beth Israel Deaconess Medical Center,4HRI,17731000,1986359,4,114900,1164626,6602,1863665,No,4,1155379,MA,213804000
71267,3,43,1,54,29.57,3,1,144323,1,9257,5.5,4,0,2,1,1,1,135455,36.1,0.5,9.5,1,0,15286,0,4,1,0.5,0.5,0.5,1,0,0,1,1,12,279778,,4.5,71267,Bowling Green,6164348,2290,Bowling Green State University,5U,21436,142028,1,0,1765,0,525,No,0,4000,OH,8021973
71271,254.6,35,3,69,42.39,24.666666666666668,12.5,347320,13.8,190123,179,29,2.4,144.6,48,43,1.6,322149,31.8,0,127,5,30.5,18350,14.166666666666666,100.6,1.25,5.4,3.75,1.5,19.2,25,24,8,57.166666666666664,209.66666666666666,669469,72,14,71271,Boston,373494520,11808362,Brigham & Women's Hospital Inc.,4HRI, ,3304063,15,3744208,2721656,2020861,5342498,No,20,2074511,MA,658309177
71318,473.6666666666667,41,1,55,37.79,99,10.666666666666666,154695,0,28187,232.33333333333334,29,1.5,63.833333333333336,36,70.33333333333333,8.5,149690,32.9,19.5,86.66666666666667,6.333333333333333,59.666666666666664,17728,2,83.66666666666667,2.5,10.5,9.166666666666666,8.5,55.666666666666664,37.833333333333336,24,10.5,72.33333333333333,160.83333333333334,304385,55,3,71318,Pittsburgh,192836000,6319501,Carnegie Mellon University,5U,25138000,1575311,6.5,51615,4977028,18588,1290858,No,4,612110,PA,243695000
71321,286.2,45,1,52,72.31,30,10,201623,0.8333333333333334,18830,215.33333333333334,38.8,1,52.6,,28.166666666666668,4.5,186436,36,0,86.66666666666667,,18.166666666666668,19849,10.333333333333334,75.66666666666667,2,4.333333333333333,3.5,3.6666666666666665,67.33333333333333,15.666666666666666,13,9.833333333333334,38.5,191.5,388059,44,10.166666666666666,71321,Cleveland,225015000,1159577,Case Western Reserve University,5U,10782000,2299463,4.6, , ,61199, ,Yes,7,1177239,OH,318108000
71326,44,73,3,59,30.51,5.666666666666667,4.166666666666667,2012898,0,1485425,53.833333333333336,15.5,3.8,28.833333333333332,23,6.833333333333333,1.6666666666666667,1958998,35,0.5,46,0.2,2.6666666666666665,85417,1,49.333333333333336,0.16666666666666666,1,0.5,1,19.166666666666668,0.8333333333333334,5,2,7.833333333333333,91.83333333333333,3971896,53,4.666666666666667,71326,Los Angeles,56504086,11027000,Cedars-Sinai Medical Center,4HRI,19907595,3038000,4,20000,250000,0,10757000,No,7,431710,CA,119905914
