[ID],INSTITUTION,MEDSCHL,City,STATE,INSTTYPE, Tot Res Exp , Ind Res Exp , Fed Res Exp , Gross Lic Inc , Leg Fees , Lic Inc Equ , Lic Inc Other , Lic Inc Pd Oth , Lic Inc Run Roy , Reimb Leg Fee , Iss US Pat , Tot Pat App Fld , Util Pat App Fld , New Pat App Fld , For. Pat App Fld , New Prod , Act Lic , Cum Op St-Ups , Excl Lic/Opt. , Inv Dis Rec , Lic $1mm+ , Lic Gen Inc , Lic Gen Run Roy , Lic Iss , Lic w Equ , NEWCOMPSUPP , Non-Excl Lic/Opt , Opt Iss , Pro Pat App Fld , St-Ups Cld , St-Ups Formed , St-Ups in Home St , St-Ups w Equ , Tot Discl Lic , Tot Lic Lg Co , Tot Lic Sm Co , Tot Lic St-Ups , Tot Lic/Opt Exe , Lic FTEs , Oth FTEs , AirQualityIndex , Airports , Bike Score , Crime Rate , Transit Score , Median Age , Total Population , Female Population , Male Population , Foreign-born , Number of Veterans ,WalkScore
71137,Albert Einstein College of Medicine,Yes,New York,NY,5U,180261448,3313555,176947893,4159494,   , -   ,3988741,96115,170753,   ,15.7,72.7,0.2,31.5, -   ,2,99,12.5,3.7,59.7,1,53,25.7,15.8,1.2, -   ,12.2,2,31.3, -   ,2.4,0.5,1.4,40.4,8.2,6.8,2.8,17.8,3,3,45,3,69,28.3,89,36,8550405,4468707,4081698,3212500,156961,100
71180,Arizona State University,No,Tempe,AZ,5U,458412000,14312000,196528000,1436333,3317116,1273,1392041,28088,43019,1133341,42,238,0.5,142,0.8,3,171.4,38.8,22.6,238,0.4,34.8,6.8,42.4,9.8,32,19.8,40,135,3.8,10.8,9.6,9.8,154.6,32.2,39.2,10.8,82.4,9.5,5,55,1,75,44.7,45,28.8,175826,84476,91350,26620,7058,54
71194,Auburn University,No,Auburn,NY,5U,135899000,6165000,48352000,1170753,478112, -   ,905401,4380,265352,188044,18.2,94.2,10.8,67.3,0.3,1.6,77.5,16.3,8.2,72, -   ,35.5,15.8,12.2,1.5,2.4,4,6.3,61.2,0.5,1.3,0.8,0.8,24.2,4.3,11.8,2.3,18.5,4,4,35,1,38,24.8,,,,,,,,52
71212,Baylor University,No,Waco,TX,5U,12343000,918000,3704000, -   ,   , -   , -   , -   , -   ,   ,,,,,,1,3,1,1,8, -   , -   , -   ,1,1,1, -   , -   ,, -   , -   , -   ,,2, -   , -   ,1,1,0.5, -   ,44,1,39,51.6,,29.3,132342,68890,63452,14235,10716,35
71228,Beth Israel Deaconess Medical Center,No,Boston,MA,4HRI,213804000,17731000,147069000,3143191,1986359,114900,1164626,6602,1863665,1155379,18.2,90.3,1.8,38.7, -   ,2.2,182.2,20.8,4.8,92.3,0.7,63.3,32.8,16.3,0.7, -   ,11.5,9.5,36.8,3.5,4,3.2,0.5,20.7,11.5,10,4.3,25.8,4,4,35,3,69,42.4,72,31.8,669469,347320,322149,190123,18350,
71267,Bowling Green State University,No,Bowling Green,OH,5U,8021973,21436,6164348,2290,142028, -   ,1765, -   ,525,4000,4,12,4.5,9.5,1,1,3,3,1,5.5, -   ,2,1,1,1,0.5, -   , -   ,4,1,0.5,0.5,0.5,1, -   , -   ,1,1,1, -   ,43,1,54,29.6,,36.1,279778,144323,135455,9257,15286,43
71271,Brigham & Women's Hospital Inc.,No,Boston,MA,4HRI,658309177,   ,373494520,11808362,3304063,3744208,2721656,2020861,5342498,2074511,29,209.7,14,127,13.8,5,254.6,24.7,12.5,179,2.4,144.6,48,43,1.6, -   ,30.5,14.2,100.6,1.3,5.4,3.8,1.5,19.2,25,24,8,57.2,15,20,35,3,69,42.4,72,31.8,669469,347320,322149,190123,18350,
71318,Carnegie Mellon University,No,Pittsburgh,PA,5U,243695000,25138000,192836000,6319501,1575311,51615,4977028,18588,1290858,612110,29,160.8,3,86.7, -   ,6.3,473.7,99,10.7,232.3,1.5,63.8,36,70.3,8.5,19.5,59.7,2,83.7,2.5,10.5,9.2,8.5,55.7,37.8,24,10.5,72.3,6.5,4,41,1,55,37.8,55,32.9,304385,154695,149690,28187,17728,62
71321,Case Western Reserve University,Yes,Cleveland,OH,5U,318108000,10782000,225015000,1159577,2299463,   ,   ,61199,   ,1177239,38.8,191.5,10.2,86.7,0.8,,286.2,30,10,215.3,1,52.6,,28.2,4.5, -   ,18.2,10.3,75.7,2,4.3,3.5,3.7,67.3,15.7,13,9.8,38.5,4.6,7,45,1,52,72.3,44,36,388059,201623,186436,18830,19849,
71326,Cedars-Sinai Medical Center,No,Los Angeles,CA,4HRI,119905914,19907595,56504086,11027000,3038000,20000,250000, -   ,10757000,431710,15.5,91.8,4.7,46, -   ,0.2,44,5.7,4.2,53.8,3.8,28.8,23,6.8,1.7,0.5,2.7,1,49.3,0.2,1,0.5,1,19.2,0.8,5,2,7.8,4,7,73,3,59,30.5,53,35,3971896,2012898,1958998,1485425,85417,96
