[ID],INSTITUTION,City,State,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born
95180,University of Akron,Akron,OH,30,43,43,1,48.67,38.1,96886,100667,197553,12878,10024
81632,The Research Foundation for The State University of New York,Albany,NY,52,55,41,1,35.39,32.8,47627,50825,98452,3643,11948
95228,University of New Mexico/Sci. & Tech. Corp.,Albuquerque,NM,29,61,38,1,72.17,36,273323,285808,559131,37443,58200
71681,Iowa State University,Ames,IA,,69,39,1,15.83,23,33814,31238,65052,2265,8606
95213,University of Massachusetts,Amherst,MA,,55,34,3,17.23,,,,,,
20120292,University of Alaska Anchorage,Anchorage,AK,22,52,25,1,64.46,32.2,152945,145750,298695,27492,33258
72389,University of Michigan,Ann Arbor,MI,49,71,41,1,27.85,28.1,58789,58281,117070,3614,20717
71986,Ohio University,Athens,OH,,63,41,1,33.41,,,,,,
84319,University of Georgia,Athens,GA,,39,36,1,39.43,26.5,57415,65148,122563,3953,12868
71465,Emory University,Atlanta,GA,44,42,40,3,60.54,33.8,223960,239915,463875,18572,32016
92621,Georgia Institute of TechNology,Atlanta,GA,44,42,40,3,60.54,33.8,223960,239915,463875,18572,32016
95100,Georgia Regents University,Atlanta,GA,44,42,40,3,60.54,33.8,223960,239915,463875,18572,32016
71194,Auburn University,Auburn,AL,,38,35,1,24.77,,,,,,
92729,Augusta University,Augusta,GA,,33,31,1,74.26,,,,,,
95100,Georgia Health Sciences University,Augusta,GA,,33,31,1,74.26,,,,,,
95100,Medical College of Georgia Research Institution,Augusta,GA,,33,31,1,74.26,,,,,,
71711,Johns Hopkins University,Baltimore,MD,53,53,43,1,73.1,34.7,294027,327822,621849,29540,49857
20100270,The Jackson Laboratory,Bar Harbor,ME,,55,26,1,14.16,,,,,,
95091,Lehigh University,Bethlehem,PA,33,45,40,3,27.5,35.1,35861,38506,74367,4704,6295
72341,The UAB Research Foundation,Birmingham,AL,21,31,38,1,78.38,35.6,102122,112789,214911,13212,8258
72502,Virginia Tech Intellectual Properties Inc.,Blacksburg,VA,38,65,38,1,22.54,,,,,,
