[ID],INSTITUTION,City,State,Transit Score,Bike Score,AirQualityIndex,Airports,Crime Rate
95180,University of Akron,Akron,OH,30.0,43,43,1,48.67
81632,The Research Foundation for The State University of New York,Albany,NY,52.0,55,41,1,35.39
95228,University of New Mexico/Sci. & Tech. Corp.,Albuquerque,NM,29.0,61,38,1,72.17
71681,Iowa State University,Ames,IA,,69,39,1,15.83
95213,University of Massachusetts,Amherst,MA,,55,34,3,17.23
20120292,University of Alaska Anchorage,Anchorage,AK,22.0,52,25,1,64.46
72389,University of Michigan,Ann Arbor,MI,49.0,71,41,1,27.85
71986,Ohio University,Athens,OH,,63,41,1,33.41
84319,University of Georgia,Athens,GA,,39,36,1,39.43
71465,Emory University,Atlanta,GA,44.0,42,40,3,60.54
92621,Georgia Institute of TechNology,Atlanta,GA,44.0,42,40,3,60.54
95100,Georgia Regents University,Atlanta,GA,44.0,42,40,3,60.54
71194,Auburn University,Auburn,AL,,38,35,1,24.77
92729,Augusta University,Augusta,GA,,33,31,1,74.26
95100,Georgia Health Sciences University,Augusta,GA,,33,31,1,74.26
95100,Medical College of Georgia Research Institution,Augusta,GA,,33,31,1,74.26
71711,Johns Hopkins University,Baltimore,MD,53.0,53,43,1,73.1
20100270,The Jackson Laboratory,Bar Harbor,ME,,55,26,1,14.16
95091,Lehigh University,Bethlehem,PA,33.0,45,40,3,27.5
72341,The UAB Research Foundation,Birmingham,AL,21.0,31,38,1,78.38
72502,Virginia Tech Intellectual Properties Inc.,Blacksburg,VA,38.0,65,38,1,22.54
95082,Indiana University,Bloomington,IN,31.0,58,42,1,34.69
71496,Florida Atlantic University,Boca Raton,FL,,56,31,3,29.56
89406,Boise State University,Boise,ID,44.0,99,45,1,23.76
71228,Beth Israel Deaconess Medical Center,Boston,MA,72.0,69,35,3,42.39
20100272,Boston College,Boston,MA,72.0,69,35,3,42.39
95014,Boston University/Boston Medical Center,Boston,MA,72.0,69,35,3,42.39
71271,Brigham & Women's Hospital,Boston,MA,72.0,69,35,3,42.39
95034,Children's Hospital Boston,Boston,MA,72.0,69,35,3,42.39
71402,Dana-Farber Cancer Institution,Boston,MA,72.0,69,35,3,42.39
71788,The General Hospital dba Massachusetts General Hospital,Boston,MA,72.0,69,35,3,42.39
95115,Tufts Medical Center,Boston,MA,72.0,69,35,3,42.39
72357,University of Colorado Boulder,Boulder,CO,47.0,86,37,1,24.97
71267,Bowling Green State University,Bowling Green,OH,,54,43,1,29.57
71881,Montana State University,Bozeman,MT,21.0,62,39,1,32.3
20100282,South Dakota State University,Brookings,SD,,58,38,1,14.94
92718,University of Vermont,Burlington,VT,39.0,81,32,1,33.73
71588,Harvard University,Cambridge,MA,70.0,96,35,3,31.49
71789,Massachusetts Institute of Technology,Cambridge,MA,70.0,96,35,3,31.49
20120291,The Forsyth Institute,Cambridge,MA,70.0,96,35,3,31.49
72526,Whitehead Institute for Biomedical Research,Cambridge,MA,70.0,96,35,3,31.49
95161,Southern IlliNois University/Carbondale,Carbondale,IL,,49,42,1,53.22
72406,University of Northern Iowa,Cedar Falls,IA,20.0,56,40,1,18.26
